Id,SalePrice
1461,120165.17217014718
1462,161087.2229106432
1463,180920.62239605066
1464,190001.87438545958
1465,205472.20318542753
1466,171687.59847443044
1467,176145.4099962567
1468,161893.8955706873
1469,206521.47103122063
1470,122851.48314653226
1471,189473.61829366663
1472,100664.18558543117
1473,93174.76159638655
1474,150284.55044221663
1475,122957.367781759
1476,389916.0373912758
1477,259093.14081611007
1478,303413.73970165796
1479,305270.06315682776
1480,469929.48250088893
1481,316352.04808767413
1482,213520.08259541006
1483,173288.91759240656
1484,165674.3499030496
1485,181091.35318860505
1486,191631.2248389066
1487,343856.2729430686
1488,238153.1290325481
1489,202003.5362643145
1490,230406.20629702584
1491,193766.96698602312
1492,91175.94348970737
1493,195571.61720775178
1494,308319.94634312246
1495,302231.64662234974
1496,240186.82587178465
1497,181152.9014443542
1498,162429.56518816535
1499,160421.398097009
1500,149211.83618134155
1501,179430.27721796988
1502,151362.7204526218
1503,285706.1103821933
1504,237381.43169443856
1505,221357.00107267866
1506,190233.17699997156
1507,250959.2230412066
1508,198545.06345195975
1509,158329.60779870767
1510,143359.09278135712
1511,146128.78932747955
1512,175940.29645679682
1513,150537.07203391648
1514,164901.78572892217
1515,205626.41888888087
1516,163018.31510522577
1517,173338.83032888017
1518,130526.52368584415
1519,225414.92591431097
1520,127191.87909788766
1521,130433.26902045571
1522,179030.4691089185
1523,108588.36222439317
1524,120323.63445315376
1525,121612.56198034628
1526,112935.60691928293
1527,106183.40750266844
1528,136444.1352523194
1529,148469.79385668493
1530,194831.89800507115
1531,117952.1661039677
1532,103729.77562473086
1533,149220.75133271958
1534,121656.71005764377
1535,148398.49907546822
1536,102526.21080519888
1537,56308.07721352481
1538,165278.1273900178
1539,213250.67160928686
1540,108572.0412335656
1541,137724.72179199348
1542,143888.75631256896
1543,204052.35398360773
1544,84002.30151704603
1545,118161.801644221
1546,132378.3448083016
1547,129943.24723110156
1548,143657.64712733484
1549,118514.5328273201
1550,138935.70080065413
1551,116677.69186108431
1552,146111.66783464164
1553,155663.976268843
1554,114799.14108176326
1555,164244.99210876704
1556,75782.67477385496
1557,109440.50915003754
1558,97227.91342625004
1559,80161.29391951597
1560,136761.0330913877
1561,130051.56819553662
1562,129666.33831184532
